attractionId,name,category,type,rating,crowdLevel,attractionDescription
attr1,Eiffel Tower,landmark,monument,4.6,very_high,"The iconic iron lattice tower in Paris, symbol of France and one of the world's most recognizable landmarks. Offers stunning city views from its observation decks."
attr2,Louvre Museum,museum,art,4.7,very_high,"The world's largest art museum in Paris, home to the Mona Lisa, Venus de Milo, and thousands of masterpieces spanning centuries of human creativity."
attr3,Notre-Dame Cathedral,landmark,religious,4.7,high,"A masterpiece of French Gothic architecture in Paris, famous for its stunning rose windows, gargoyles, and rich medieval history."
attr4,Arc de Triomphe,landmark,monument,4.5,high,"A monumental arch in Paris honoring those who fought for France, offering panoramic views of the Champs-Élysées and the city."
attr5,Sagrada Familia,landmark,religious,4.7,very_high,"Gaudi's unfinished masterpiece in Barcelona, a stunning basilica combining Gothic and Art Nouveau styles with incredible organic architecture."
attr6,Park Guell,park,architecture,4.5,high,"A colorful park in Barcelona designed by Gaudi, featuring mosaic sculptures, unique architecture, and beautiful views of the city."
attr7,Casa Batllo,landmark,architecture,4.6,high,"A stunning modernist building in Barcelona designed by Gaudi, known for its organic shapes, colorful facade, and innovative architecture."
attr8,Colosseum,landmark,historical,4.7,very_high,"The ancient Roman amphitheater in Rome, an iconic symbol of the Roman Empire and one of the world's greatest architectural achievements."
attr9,St. Peter's Basilica,landmark,religious,4.8,very_high,"The largest church in the world in Vatican City, featuring Michelangelo's dome, stunning Renaissance art, and incredible religious significance."
attr10,Trevi Fountain,landmark,monument,4.6,very_high,"Rome's most famous Baroque fountain, a stunning masterpiece where visitors throw coins to ensure their return to the Eternal City."
attr11,Van Gogh Museum,museum,art,4.6,high,"A museum museum featuring art collections and exhibitions. Van Gogh Museum offers visitors a chance to explore art, history, and culture."
attr12,Anne Frank House,museum,historical,4.5,very_high,"A museum museum featuring historical collections and exhibitions. Anne Frank House offers visitors a chance to explore art, history, and culture."
attr13,Brandenburg Gate,landmark,monument,4.6,high,"A historic monument landmark, Brandenburg Gate is a significant landmark site known for its architectural beauty and cultural importance."
attr14,Reichstag Building,landmark,government,4.6,medium,"A historic government landmark, Reichstag Building is a significant landmark site known for its architectural beauty and cultural importance."
attr15,Charles Bridge,landmark,monument,4.7,high,"A historic monument landmark, Charles Bridge is a significant landmark site known for its architectural beauty and cultural importance."
attr16,Prague Castle,landmark,historical,4.7,high,"A historic historical landmark, Prague Castle is a significant landmark site known for its architectural beauty and cultural importance."
attr17,Schonbrunn Palace,landmark,historical,4.7,high,"A historic historical landmark, Schonbrunn Palace is a significant landmark site known for its architectural beauty and cultural importance."
attr18,St. Stephen's Cathedral,landmark,religious,4.6,high,"A historic religious landmark, St. Stephen's Cathedral is a significant landmark site known for its architectural beauty and cultural importance."
attr19,Big Ben,landmark,monument,4.6,very_high,"A historic monument landmark, Big Ben is a significant landmark site known for its architectural beauty and cultural importance."
attr20,Tower Bridge,landmark,monument,4.6,high,"A historic monument landmark, Tower Bridge is a significant landmark site known for its architectural beauty and cultural importance."
attr21,Westminster Abbey,landmark,religious,4.6,high,"A historic religious landmark, Westminster Abbey is a significant landmark site known for its architectural beauty and cultural importance."
attr22,Prado Museum,museum,art,4.7,high,"A museum museum featuring art collections and exhibitions. Prado Museum offers visitors a chance to explore art, history, and culture."
attr23,Retiro Park,park,recreation,4.6,medium,"A beautiful recreation park offering park experiences, Retiro Park provides a peaceful escape with natural beauty and recreational opportunities."
attr24,Belem Tower,landmark,historical,4.5,medium,"A historic historical landmark, Belem Tower is a significant landmark site known for its architectural beauty and cultural importance."
attr25,Jerónimos Monastery,landmark,religious,4.6,medium,"A historic religious landmark, Jerónimos Monastery is a significant landmark site known for its architectural beauty and cultural importance."
attr26,Uffizi Gallery,museum,art,4.7,high,"A museum museum featuring art collections and exhibitions. Uffizi Gallery offers visitors a chance to explore art, history, and culture."
attr27,Duomo di Firenze,landmark,religious,4.7,high,"A historic religious landmark, Duomo di Firenze is a significant landmark site known for its architectural beauty and cultural importance."
attr28,St. Mark's Square,landmark,historical,4.7,very_high,"A historic historical landmark, St. Mark's Square is a significant landmark site known for its architectural beauty and cultural importance."
attr29,Grand Canal,landmark,scenic,4.8,high,"A historic scenic landmark, Grand Canal is a significant landmark site known for its architectural beauty and cultural importance."
attr30,Acropolis,landmark,historical,4.7,high,"A historic historical landmark, Acropolis is a significant landmark site known for its architectural beauty and cultural importance."
attr31,Parthenon,landmark,historical,4.8,high,"A historic historical landmark, Parthenon is a significant landmark site known for its architectural beauty and cultural importance."
attr32,Trinity College,landmark,educational,4.5,medium,"A historic educational landmark, Trinity College is a significant landmark site known for its architectural beauty and cultural importance."
attr33,Guinness Storehouse,attraction,experience,4.4,high,"An engaging experience attraction, Guinness Storehouse offers attraction experiences for visitors seeking entertainment and cultural enrichment."
attr34,Edinburgh Castle,landmark,historical,4.6,high,"A historic historical landmark, Edinburgh Castle is a significant landmark site known for its architectural beauty and cultural importance."
attr35,Arthur's Seat,park,nature,4.6,low,"A beautiful nature park offering park experiences, Arthur's Seat provides a peaceful escape with natural beauty and recreational opportunities."
attr36,Vasa Museum,museum,historical,4.7,medium,"A museum museum featuring historical collections and exhibitions. Vasa Museum offers visitors a chance to explore art, history, and culture."
attr37,Skansen,attraction,cultural,4.5,medium,"An engaging cultural attraction, Skansen offers attraction experiences for visitors seeking entertainment and cultural enrichment."
attr38,Little Mermaid,landmark,monument,4.2,high,"A historic monument landmark, Little Mermaid is a significant landmark site known for its architectural beauty and cultural importance."
attr39,Tivoli Gardens,attraction,amusement,4.5,medium,"An engaging amusement attraction, Tivoli Gardens offers attraction experiences for visitors seeking entertainment and cultural enrichment."
attr40,Vigeland Park,park,sculpture,4.7,low,"A beautiful sculpture park offering park experiences, Vigeland Park provides a peaceful escape with natural beauty and recreational opportunities."
attr41,Suomenlinna,landmark,historical,4.6,low,"A historic historical landmark, Suomenlinna is a significant landmark site known for its architectural beauty and cultural importance."
attr42,Heroes' Square,landmark,monument,4.5,medium,"A historic monument landmark, Heroes' Square is a significant landmark site known for its architectural beauty and cultural importance."
attr43,Baths of Széchenyi,attraction,spa,4.6,medium,"An engaging spa attraction, Baths of Széchenyi offers attraction experiences for visitors seeking entertainment and cultural enrichment."
attr44,Wawel Castle,landmark,historical,4.6,medium,"A historic historical landmark, Wawel Castle is a significant landmark site known for its architectural beauty and cultural importance."
attr45,Main Market Square,landmark,historical,4.6,medium,"A historic historical landmark, Main Market Square is a significant landmark site known for its architectural beauty and cultural importance."
attr46,Atomium,landmark,monument,4.4,medium,"A historic monument landmark, Atomium is a significant landmark site known for its architectural beauty and cultural importance."
attr47,Grand Place,landmark,historical,4.7,high,"A historic historical landmark, Grand Place is a significant landmark site known for its architectural beauty and cultural importance."
attr48,Swiss National Museum,museum,historical,4.4,low,"A museum museum featuring historical collections and exhibitions. Swiss National Museum offers visitors a chance to explore art, history, and culture."
attr49,Lake Geneva,landmark,scenic,4.7,low,"A historic scenic landmark, Lake Geneva is a significant landmark site known for its architectural beauty and cultural importance."
attr50,Jet d'Eau,landmark,monument,4.5,medium,"A historic monument landmark, Jet d'Eau is a significant landmark site known for its architectural beauty and cultural importance."
attr51,Disneyland Paris,attraction,amusement,4.3,very_high,"An engaging amusement attraction, Disneyland Paris offers attraction experiences for visitors seeking entertainment and cultural enrichment."
