activityId,name,type,activityDescription
act1,Hiking,outdoor,"Hiking involves exploring nature trails and mountain paths, offering physical exercise, stunning natural scenery, and opportunities to connect with the outdoors. Perfect for adventure seekers and nature lovers."
act2,Beach,outdoor,"Beach activities include swimming, sunbathing, water sports, and relaxing by the sea. Ideal for those seeking relaxation, water activities, and beautiful coastal scenery."
act3,Museums,cultural,"Museums offer educational experiences through art, history, science, and culture collections. Perfect for learning about local heritage, artistic masterpieces, and historical artifacts."
act4,Nightlife,entertainment,"Nightlife includes bars, clubs, live music venues, and evening entertainment. Great for socializing, experiencing local culture, and enjoying vibrant city night scenes."
act5,History,cultural,"Historical activities involve exploring ancient sites, monuments, and learning about past civilizations. Ideal for history enthusiasts and those interested in cultural heritage."
act6,Art,cultural,"Art activities include visiting galleries, viewing masterpieces, and experiencing creative expressions. Perfect for art lovers and those seeking cultural enrichment."
act7,Food,culinary,"Food activities involve tasting local cuisine, visiting markets, cooking classes, and culinary tours. Great for food enthusiasts and those wanting to experience authentic flavors."
act8,Adventure,outdoor,"Adventure activities include extreme sports, outdoor challenges, and thrilling experiences. Perfect for adrenaline seekers and those looking for exciting activities."
act9,Relaxation,wellness,"Relaxation activities focus on wellness, spa treatments, meditation, and peaceful experiences. Ideal for those seeking rest, rejuvenation, and stress relief."
act10,Music,entertainment,"Music activities include concerts, live performances, music festivals, and musical heritage sites. Great for music lovers and those seeking cultural entertainment."
act11,Architecture,cultural,"Architecture activities involve exploring buildings, landmarks, and urban design. Perfect for those interested in design, history, and structural beauty."
act12,Photography,outdoor,"Photography activities include scenic viewpoints, photogenic locations, and capturing beautiful moments. Ideal for photography enthusiasts and those seeking picturesque spots."
act13,Shopping,entertainment,"Shopping activities involve exploring markets, boutiques, and retail districts. Great for finding unique items, local products, and experiencing commercial culture."
act14,Spas,wellness,"Spa activities include thermal baths, wellness treatments, and relaxation therapies. Perfect for those seeking health benefits, relaxation, and rejuvenation."
act15,Water Sports,outdoor,"Water sports include swimming, diving, sailing, and aquatic activities. Ideal for water enthusiasts and those seeking active beach experiences."
act16,Wine Tasting,culinary,"Wine tasting involves sampling local wines, visiting vineyards, and learning about wine production. Great for wine connoisseurs and those interested in regional specialties."
act17,Festivals,entertainment,"Festivals include cultural celebrations, music events, and seasonal gatherings. Perfect for experiencing local traditions, entertainment, and community spirit."
act18,Monuments,cultural,"Monument activities involve visiting historical landmarks, memorials, and significant structures. Ideal for those interested in history, architecture, and cultural significance."
act19,Parks,outdoor,"Park activities include walking, picnicking, and enjoying green spaces. Great for families, nature lovers, and those seeking peaceful outdoor experiences."
act20,For Children,family,"Family-friendly activities are designed for children and families, including playgrounds, educational sites, and age-appropriate entertainment. Perfect for family vacations."
